Symbol,Company Name,Industry,Country,Sector,ISIN Number
NVGS,Navigator Holdings Ltd.,Oil & Gas Midstream,United Kingdom,Energy,MHY621321089
KRO,"Kronos Worldwide, Inc.",Specialty Chemicals,United States,Materials,US50105F1057
GOGO,Gogo Inc.,Telecom Services,United States,Communication Services,US38046C1099
INVX,"Innovex International, Inc.",Oil & Gas Equipment & Services,United States,Energy,US4576511079
NRDS,"NerdWallet, Inc.",Internet Content & Information,United States,Communication Services,US64082B1026
PMT,PennyMac Mortgage Investment Trust,REIT - Mortgage,United States,Real Estate,US70931T1034
NEP,"NextEra Energy Partners, LP",Utilities - Renewable,United States,Utilities,US65341B1061
RCKT,"Rocket Pharmaceuticals, Inc.",Biotechnology,United States,Healthcare,US77313F1066
EMBC,Embecta Corp.,Medical Instruments & Supplies,United States,Healthcare,US29082K1051
DX,"Dynex Capital, Inc.",REIT - Mortgage,United States,Real Estate,US26817Q8868
TIXT,TELUS International (Cda) Inc.,Software - Infrastructure,Canada,Technology,CA87975H1001
BELFA,Bel Fuse Inc.,Electronic Components,United States,Technology,US0773472016
IGIC,International General Insurance Holdings Ltd.,Insurance - Diversified,Jordan,Financials,BMG4809J1062
PGRE,"Paramount Group, Inc.",REIT - Office,United States,Real Estate,US69924R1086
PDM,"Piedmont Office Realty Trust, Inc.",REIT - Office,United States,Real Estate,US7201902068
REPL,"Replimune Group, Inc.",Biotechnology,United States,Healthcare,US76029N1063
OCFC,OceanFirst Financial Corp.,Banks - Regional,United States,Financials,US6752341080
JKS,"JinkoSolar Holding Co., Ltd.",Solar,China,Technology,US47759T1007
CCEC,Capital Clean Energy Carriers Corp.,Marine Shipping,Greece,Industrials,MHY004081078
CSR,Centerspace,REIT - Residential,United States,Real Estate,US15202L1070
SA,Seabridge Gold Inc.,Gold,Canada,Materials,CA8119161054
BRKL,"Brookline Bancorp, Inc.",Banks - Regional,United States,Financials,US11373M1071
RDFN,Redfin Corporation,Real Estate Services,United States,Real Estate,US75737F1084
EH,EHang Holdings Limited,Aerospace & Defense,China,Industrials,US26853E1029
BOW,Bowhead Specialty Holdings Inc.,Insurance - Property & Casualty,United States,Financials,US10240L1026
PTLO,Portillo's Inc.,Restaurants,United States,Consumer Discretionary,US73642K1060
SII,Sprott Inc.,Asset Management,Canada,Financials,CA8520662088
CSWC,Capital Southwest Corporation,Asset Management,United States,Financials,US1405011073
OPEN,Opendoor Technologies Inc.,Real Estate Services,United States,Real Estate,US6837121036
TPB,"Turning Point Brands, Inc.",Tobacco,United States,Consumer Staples,US90041L1052
NX,Quanex Building Products Corporation,Building Products & Equipment,United States,Industrials,US7476191041
PLAY,"Dave & Buster's Entertainment, Inc.",Entertainment,United States,Communication Services,US2383371091
ETNB,"89bio, Inc.",Biotechnology,United States,Healthcare,US2825591033
ACMR,"ACM Research, Inc.",Semiconductor Equipment & Materials,United States,Technology,US00108J1097
COLL,"Collegium Pharmaceutical, Inc.",Drug Manufacturers - Specialty & Generic,United States,Healthcare,US19459J1043
GETY,"Getty Images Holdings, Inc.",Internet Content & Information,United States,Communication Services,US3742751056
BLMN,"Bloomin' Brands, Inc.",Restaurants,United States,Consumer Discretionary,US0942351083
BBDC,"Barings BDC, Inc.",Asset Management,United States,Financials,US06759L1035
OLPX,"Olaplex Holdings, Inc.",Specialty Retail,United States,Consumer Discretionary,US6793691089
EVGO,"EVgo, Inc.",Specialty Retail,United States,Consumer Discretionary,US30052F1003
CMCO,Columbus McKinnon Corporation,Farm & Heavy Construction Machinery,United States,Industrials,US1993331057
BELFB,Bel Fuse Inc.,Electronic Components,United States,Technology,US0773473006
AMN,"AMN Healthcare Services, Inc.",Medical Care Facilities,United States,Healthcare,US0017441017
MFA,"MFA Financial, Inc.",REIT - Mortgage,United States,Real Estate,US55272X6076
WOOF,"Petco Health and Wellness Company, Inc.",Specialty Retail,United States,Consumer Discretionary,US71601V1052
REAL,"The RealReal, Inc.",Luxury Goods,United States,Consumer Discretionary,US88339P1012
SKE,Skeena Resources Limited,Other Industrial Metals & Mining,Canada,Materials,CA83056P7157
AMAL,Amalgamated Financial Corp.,Banks - Regional,United States,Financials,US0226711010
AOSL,Alpha and Omega Semiconductor Limited,Semiconductors,United States,Technology,BMG6331P1041
LMB,"Limbach Holdings, Inc.",Building Products & Equipment,United States,Industrials,US53263P1057
FBRT,"Franklin BSP Realty Trust, Inc.",REIT - Mortgage,United States,Real Estate,US35243J1016
LPG,Dorian LPG Ltd.,Oil & Gas Midstream,United States,Energy,MHY2106R1100
UUUU,Energy Fuels Inc.,Uranium,United States,Energy,CA2926717083
ARR,"ARMOUR Residential REIT, Inc.",REIT - Mortgage,United States,Real Estate,US0423157058
AMSC,American Superconductor Corporation,Specialty Industrial Machinery,United States,Industrials,US0301112076
KFRC,Kforce Inc.,Staffing & Employment Services,United States,Industrials,US4937321010
ELVN,"Enliven Therapeutics, Inc.",Biotechnology,United States,Healthcare,US29337E1029
COHU,"Cohu, Inc.",Semiconductor Equipment & Materials,United States,Technology,US1925761066
NG,NovaGold Resources Inc.,Gold,Canada,Materials,CA66987E2069
SSTK,"Shutterstock, Inc.",Internet Content & Information,United States,Communication Services,US8256901005
HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,Internet Retail,Turkey,Consumer Discretionary,US23292B1044
TLRY,"Tilray Brands, Inc.",Drug Manufacturers - Specialty & Generic,Canada,Healthcare,US88688T1007
DLX,Deluxe Corporation,Conglomerates,United States,Industrials,US2480191012
NTLA,"Intellia Therapeutics, Inc.",Biotechnology,United States,Healthcare,US45826J1051
PENG,"Penguin Solutions, Inc.",Information Technology Services,Cayman Islands,Technology,KYG8232Y1017
BFC,Bank First Corporation,Banks - Regional,United States,Financials,US06211J1007
PDFS,"PDF Solutions, Inc.",Software - Application,United States,Technology,US6932821050
DCO,Ducommun Incorporated,Aerospace & Defense,United States,Industrials,US2641471097
ARRY,"Array Technologies, Inc.",Solar,United States,Technology,US04271T1007
PRLB,"Proto Labs, Inc.",Metal Fabrication,United States,Industrials,US7437131094
JBSS,"John B. Sanfilippo & Son, Inc.",Packaged Foods,United States,Consumer Staples,US8004221078
COMM,"CommScope Holding Company, Inc.",Communication Equipment,United States,Technology,US20337X1090
