Industry,Company Name,Symbol,Country,Sector,ISIN Number
Capital Markets,Argo Blockchain plc,ARBK,United Kingdom,Financials,US0401261047
Biotechnology,CEL-SCI Corporation,CVM,United States,Healthcare,US1508376076
Specialty Industrial Machinery,Greenland Technologies Holding Corporation,GTEC,United States,Industrials,VGG4095T1075
Biotechnology,BioVie Inc.,BIVI,United States,Healthcare,US09074F2074
Marine Shipping,EuroDry Ltd.,EDRY,Greece,Industrials,MHY235081079
Other,Medicus Pharma Ltd.,MDCX,"Ontario, Canada",,CA58471K2020
REIT - Diversified,"MacKenzie Realty Capital, Inc.",MKZR,United States,Real Estate,US55453W1053
Information Technology Services,Data Storage Corporation,DTST,United States,Technology,US23786R2013
Specialty Business Services,"Network-1 Technologies, Inc.",NTIP,United States,Industrials,US64121N1090
Biotechnology,"Cognition Therapeutics, Inc.",CGTX,United States,Healthcare,US19243B1026
Real Estate Services,Fathom Holdings Inc.,FTHM,United States,Real Estate,US31189V1098
Medical Devices,"Envoy Medical, Inc.",COCH,United States,Healthcare,US29415V1098
Oil & Gas Midstream,CBL International Limited,BANL,Malaysia,Energy,KYG1991X1097
Software - Infrastructure,Mogo Inc.,MOGO,Canada,Technology,CA60800C2085
Metal Fabrication,TechPrecision Corporation,TPCS,United States,Industrials,US8787392005
Beverages - Non-Alcoholic,"Safety Shot, Inc.",SHOT,United States,Consumer Staples,US48208F1057
Software - Infrastructure,"XBP Europe Holdings, Inc.",XBP,United Kingdom,Technology,US98400V1017
Health Information Services,OneMedNet Corporation,ONMD,United States,Healthcare,US68270C1036
Medical Devices,"Accelerate Diagnostics, Inc.",AXDX,United States,Healthcare,US00430H2013
Electrical Equipment & Parts,Asia Pacific Wire & Cable Corporation Limited,APWC,Taiwan,Industrials,BMG0535E1066
Packaged Foods,Oriental Rise Holdings Limited,ORIS,China,Consumer Staples,KYG6781A1022
Auto Manufacturers,"ECD Automotive Design, Inc.",ECDA,United States,Consumer Discretionary,US27877D1046
Software - Application,"SurgePays, Inc.",SURG,United States,Technology,US86882L2043
REIT - Hotel & Motel,InnSuites Hospitality Trust,IHT,United States,Real Estate,US4579191085
Software - Application,LeddarTech Holdings Inc.,LDTC,Canada,Technology,CA52328E1051
Information Technology Services,BIT Mining Limited,BTCM,United States,Technology,US0554742090
Home Improvement Retail,Live Ventures Incorporated,LIVE,United States,Consumer Discretionary,US5381423087
Pollution & Treatment Controls,"Fuel Tech, Inc.",FTEK,United States,Industrials,US3595231073
Software - Application,"NetSol Technologies, Inc.",NTWK,United States,Technology,US64115A4022
Information Technology Services,Global Engine Group Holding Limited,GLE,Hong Kong,Technology,VGG397111094
Biotechnology,"Marinus Pharmaceuticals, Inc.",MRNS,United States,Healthcare,US56854Q2003
Biotechnology,Lexaria Bioscience Corp.,LEXX,Canada,Healthcare,US52886N4060
Specialty Chemicals,"5E Advanced Materials, Inc.",FEAM,United States,Materials,US33830Q1094
Biotechnology,Moolec Science SA,MLEC,Luxembourg,Healthcare,LU2559000059
Software - Application,3 E Network Technology Group Limited,MASK,China,Technology,VGG8849D1107
Farm & Heavy Construction Machinery,"Hydrofarm Holdings Group, Inc.",HYFM,United States,Industrials,US44888K2096
Oil & Gas Exploration & Production,Battalion Oil Corporation,BATL,United States,Energy,US07134L1070
Solar,Vast Renewables Limited,VSTE,Australia,Technology,AU0000288284
Steel,"ZK International Group Co., Ltd.",ZKIN,China,Materials,VGG9892K1003
Lodging,The InterGroup Corporation,INTG,United States,Consumer Discretionary,US4586851044
Packaged Foods,Australian Oilseeds Holdings Limited,COOT,Cayman Islands,Consumer Staples,KYG070411098
Biotechnology,"Rain Enhancement Technologies Holdco, Inc.",RAIN,United States,Healthcare,US75080J1034
Metal Fabrication,Mingteng International Corporation Inc.,MTEN,China,Industrials,KYG6S85D1097
Software - Application,"HeartCore Enterprises, Inc.",HTCR,Japan,Technology,US42240Q1040
Insurance - Reinsurance,Oxbridge Re Holdings Limited,OXBR,Cayman Islands,Financials,KYG6856M1069
,ScanTech AI Systems Inc.,STAI,United States,,
Biotechnology,"ProMIS Neurosciences, Inc.",PMN,Canada,Healthcare,CA74346M4065
Drug Manufacturers - Specialty & Generic,Incannex Healthcare Inc.,IXHL,Australia,Healthcare,US45333F1093
Rental & Leasing Services,"FlexShopper, Inc.",FPAY,United States,Industrials,US33939J3032
Biotechnology,CytoMed Therapeutics Limited,GDTC,Singapore,Healthcare,SGXZ17669631
Electrical Equipment & Parts,"Flux Power Holdings, Inc.",FLUX,United States,Industrials,US3440573026
Electronic Gaming & Multimedia,"GameSquare Holdings, Inc.",GAME,United States,Communication Services,CA3649341094
Oil & Gas Midstream,Top Ships Inc.,TOPS,Greece,Energy,MHY8897Y2307
Medical Devices,"DIH Holding US, Inc.",DHAI,United States,Healthcare,US23290B1061
Waste Management,Li-Cycle Holdings Corp.,LICY,Canada,Industrials,CA50202P1053
Oil & Gas Exploration & Production,Indonesia Energy Corporation Limited,INDO,Indonesia,Energy,KYG4760X1025
Marine Shipping,Globus Maritime Limited,GLBS,Greece,Industrials,MHY272651263
Biotechnology,"Daré Bioscience, Inc.",DARE,United States,Healthcare,US23666P1012
Medical Devices,"Beyond Air, Inc.",XAIR,United States,Healthcare,US08862L1035
